,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle ascending limb epithelial cell_gini
0,0610005C13Rik,7.089044856149315e-05
1,0610007C21Rik,8.935183303086502e-05
2,0610007N19Rik,7.163819987617043e-05
3,0610007P14Rik,4.000191226922753e-05
4,0610009D07Rik,9.227858209803381e-05
5,0610010O12Rik,9.194480693359846e-05
6,0610011F06Rik,0.00016926926641341568
7,0610012G03Rik,6.703382987118449e-05
8,0610012H03Rik,0.00011183772100417396
9,0610031J06Rik,3.9193418380464065e-05
10,0610037L13Rik,3.870704281165093e-05
11,0610040J01Rik,4.479412062657807e-05
12,0910001L09Rik,5.78155011477194e-05
13,100043387,8.687442647867025e-05
14,1110001A16Rik,5.076071819856061e-05
15,1110001J03Rik,0.00018102468391106868
16,1110002B05Rik,5.2778527271995774e-05
17,1110003E01Rik,0.00020998142975956196
18,1110004F10Rik,5.929629226507843e-05
19,1110005A03Rik,3.989211563603384e-05
20,1110008F13Rik,8.420634536568822e-05
21,1110008P14Rik,4.1579868343891654e-05
22,1110032A03Rik,6.284441066440718e-05
23,1110038B12Rik,8.370031546210373e-06
24,1110038D17Rik,3.569738962481012e-05
25,1110049F12Rik,4.47174202964555e-05
26,1110051M20Rik,6.133552991155654e-05
27,1110057K04Rik,4.740021454595214e-05
28,1110059E24Rik,1.546428253625208e-05
29,1110059G10Rik,3.430401702702802e-05
30,1190002H23Rik,0.0009059093060806218
31,1190007F08Rik,5.021854837916751e-05
32,1300001I01Rik,4.60073242879399e-05
33,1500003O03Rik,2.9478863471681022e-05
34,1500016L03Rik,4.955445110853855e-05
35,1500032L24Rik,0.00013479887092892367
36,1600029D21Rik,9.690863843428001e-05
37,1700011H14Rik,8.585899198183011e-05
38,1700018L02Rik,8.08164592597932e-05
39,1700019E19Rik,5.208978470232038e-05
40,1700020I14Rik,2.438275107706089e-05
41,1700034H14Rik,1.1938870839259353e-05
42,1700123O20Rik,3.041140968343804e-05
43,1810006K21Rik,8.209337598139527e-05
44,1810009A15Rik,3.125448196060363e-05
45,1810011O10Rik,0.0016133443054070335
46,1810013D10Rik,5.619561197872125e-05
47,1810014F10Rik,2.6577698584719236e-05
48,1810019J16Rik,4.371713016458088e-05
49,1810020D17Rik,2.9702575220305857e-05
50,1810022K09Rik,7.133470200820053e-05
51,1810027O10Rik,0.00015152303699672698
52,1810030J14Rik,0.0003002527348371753
53,1810035L17Rik,6.844509488631289e-05
54,1810037I17Rik,7.830338442693659e-05
55,1810043H04Rik,7.404502742220501e-05
56,1810046J19Rik,9.702469408039194e-05
57,1810046K07Rik,0.00010425809899112171
58,1810058I24Rik,9.736423111122757e-05
59,1810074P20Rik,6.87889032336291e-05
60,2010001M09Rik,0.00011602652331918922
61,2010106G01Rik,8.880532244250407e-05
62,2010107E04Rik,0.0005043894405401437
63,2010107H07Rik,9.086611619609605e-05
64,2010111I01Rik,3.1702065405598014e-05
65,2200002D01Rik,2.2891095740856315e-05
66,2210010C04Rik,0.0002009885032384457
67,2210016F16Rik,4.9322897027683524e-05
68,2210404O07Rik,5.751692196651992e-05
69,2210411K11Rik,2.954379163449547e-05
70,2210415F13Rik,5.7681550957617717e-05
71,2300009A05Rik,2.8013976095337435e-05
72,2310003F16Rik,7.439697274664113e-05
73,2310003H01Rik,5.897313709032565e-05
74,2310004N24Rik,3.873773922215565e-05
75,2310009A05Rik,2.64558882441881e-05
76,2310016M24Rik,8.518659118875506e-05
77,2310030N02Rik,3.205045358494467e-05
78,2310033P09Rik,2.4425425677071267e-05
79,2310036O22Rik,0.00019213551835332014
80,2310039H08Rik,7.868635204165804e-05
81,2310044H10Rik,7.911740405543708e-05
82,2310045N01Rik,6.165800479019458e-05
83,2310061C15Rik,2.8529858584003777e-05
84,2310061I04Rik,3.505494220267473e-05
85,2310067B10Rik,6.91754751369313e-05
86,2400001E08Rik,9.501629864347674e-05
87,2410001C21Rik,5.226907261529885e-05
88,2410002O22Rik,2.0585444137664773e-05
89,2410006H16Rik,4.534538344334627e-05
90,2410015M20Rik,0.00018511027458417714
91,2410016O06Rik,9.538557323140751e-06
92,2510006D16Rik,7.964322776611945e-05
93,2510012J08Rik,8.713930581407469e-05
94,2510039O18Rik,4.554652082678384e-05
95,2610001J05Rik,5.4060301032392137e-05
96,2610002J02Rik,6.322248742452277e-05
97,2610027L16Rik,5.011123877599435e-05
98,2610029G23Rik,4.0388310108796816e-05
99,2610101N10Rik,3.69088831896955e-05
100,2610507B11Rik,2.4444933541819814e-05
101,2610528J11Rik,7.511693530110439e-05
102,2700029M09Rik,3.567052876839653e-05
103,2700060E02Rik,5.436155847739697e-05
104,2700089E24Rik,4.903497310467213e-05
105,2810013P06Rik,8.798040888716686e-05
106,2810403A07Rik,3.4078287344249395e-05
107,2810407C02Rik,3.721385267749251e-05
108,2810417H13Rik,6.438544960830966e-05
109,2810422J05Rik,7.472932803426835e-05
110,2810428I15Rik,4.55704614220149e-05
111,2810432D09Rik,2.1158384623473228e-05
112,2810474O19Rik,6.817584157955819e-05
113,2900010M23Rik,9.072178267941332e-05
114,2900026A02Rik,4.6994932884884966e-05
115,2900053A13Rik,7.325819531912781e-05
116,2900064A13Rik,7.632157531298049e-05
117,2900097C17Rik,5.517014008280246e-05
118,3110003A17Rik,4.6321249166711046e-05
119,4632411B12Rik,3.1991601700464084e-05
120,4632428N05Rik,0.00020231972110435395
121,4732418C07Rik,2.9045024429449888e-05
122,4833439L19Rik,0.0001340402415948231
123,4921513D23Rik,7.708769315482224e-05
124,4921524J17Rik,2.0160295366150297e-05
125,4930420K17Rik,3.013110507011658e-05
126,4930523C07Rik,4.258668503937234e-05
127,4931406C07Rik,0.0004947556266032447
128,4932438A13Rik,3.057105221535287e-05
129,4933407C03Rik,0.00011381535694074966
130,4933407H18Rik,3.1000226877066025e-05
131,4933434E20Rik,8.440522260751951e-05
132,5033411D12Rik,9.927495217249025e-05
133,5133401N09Rik,5.84614670008769e-05
134,5430435G22Rik,0.00012005098682474645
135,5430437P03Rik,0.00018021707938032776
136,5730419I09Rik,0.00011008102371043867
137,5730437N04Rik,3.124529286153598e-05
138,5730469M10Rik,0.00012032854349546946
139,5730494N06Rik,5.704208514956457e-05
140,5930416I19Rik,1.5227734747294487e-05
141,6330406I15Rik,5.119204081449199e-05
142,6330410L21Rik,0.00010942374301043099
143,6430527G18Rik,4.9002906910065495e-05
144,6720456B07Rik,0.00011827230144456813
145,8430408G22Rik,7.876192005526535e-05
146,9030425E11Rik,3.448867154682175e-05
147,9030619P08Rik,4.533495421336299e-05
148,9130011J15Rik,7.272607101789044e-05
149,9430023L20Rik,3.550728968999961e-05
150,9530008L14Rik,6.768426529629007e-05
151,9530068E07Rik,3.663301757398419e-05
152,A130040M12Rik,0.0005896399603361083
153,A430084P05Rik,3.8785304992931005e-05
154,A530032D15Rik,3.0547114571462876e-05
155,A630055G03Rik,2.6765480713056836e-05
156,A930001N09Rik,2.2618666696922735e-05
157,AF251705,0.0011038280136591912
158,AI314976,2.6264698285156404e-05
159,AI317395,7.438633492220354e-05
160,AI413582,8.071992055847055e-05
161,AI462493,6.274878331880862e-05
162,AI467606,4.4420198936805964e-05
163,AI597468,5.4325593439820694e-05
164,AI607873,0.00016392590508646775
165,AI662270,1.96580741172851e-05
166,AU021092,0.0016589376180431467
167,AW112010,0.0012476421459637812
168,Aadac,0.00011451847074925572
169,Aadat,0.00037628816113994304
170,Aak1,1.869566038121124e-05
171,Aamp,0.00012292402001887634
172,Aarsd1,6.283791087146177e-05
173,Aass,8.163341892045941e-05
174,Abat,4.1139524559373986e-05
175,Abca13,0.0008040294498368134
176,Abca5,2.8180830439409727e-05
177,Abca8a,0.00014491512400952494
178,Abcb8,4.2128854947687245e-05
179,Abcc2,8.284840022098979e-05
180,Abcd3,3.542383119419622e-05
181,Abcf1,4.1772724704657395e-05
182,Abcf2,4.237347439401952e-05
183,Abcg1,5.204232654368284e-05
184,Abcg2,0.00022450229387138677
185,Abhd11,8.607099659678594e-05
186,Abhd12,0.0001102325949888246
