,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle ascending limb epithelial cell_gini
187,Abhd14a,9.153789082004314e-05
188,Abhd14b,0.00017319827282770458
189,Abhd16a,0.0001307347879907051
190,Abhd5,3.661563125592391e-05
191,Abhd8,7.747445511949698e-05
192,Abi3bp,1.3266796853023004e-05
193,Ablim1,0.00015077064349549308
194,Acaa1a,0.00011164999947279092
195,Acaa1b,0.00013174172072467373
196,Acaa2,0.0006112821465261691
197,Acadl,0.0002444249380799033
198,Acadm,0.00015645461839403397
199,Acads,3.9523267458483035e-05
200,Acadsb,5.593796883393281e-05
201,Acadvl,6.369109809229616e-05
202,Acap2,4.1897164984259655e-05
203,Acat1,0.00018069661129391145
204,Acbd3,3.878318375109362e-05
205,Acbd4,5.163183304067253e-05
206,Acbd6,2.5177358969224788e-05
207,Ace,0.00014517165638034272
208,Acer2,0.00014269245598786214
209,Acer3,3.3576341607352376e-05
210,Acin1,8.706516253227446e-05
211,Acmsd,9.636190431073482e-05
212,Acnat2,3.364226449676003e-05
213,Aco1,4.537837764745097e-05
214,Aco2,0.00020314557165899941
215,Acot13,0.00010038184757208027
216,Acot2,5.1123438433625605e-05
217,Acot7,8.821233697432758e-05
218,Acot8,3.418508087384173e-05
219,Acot9,4.949996064260851e-05
220,Acox1,8.732599402304708e-05
221,Acox2,0.00012747819395769446
222,Acp1,3.55626189101613e-05
223,Acp5,3.784008668792419e-05
224,Acp6,8.048162530560663e-05
225,Acsl1,0.00013044335218425552
226,Acsl4,3.616731796579315e-05
227,Acsl5,2.488893020886039e-05
228,Acsm1,0.00010110959503227673
229,Acsm2,0.00501232308193014
230,Acsm3,0.0002818033673905151
231,Acss1,0.0018880588385737657
232,Acss2,3.7446589600382243e-05
233,Acta2,2.433469201112955e-05
234,Actb,0.001761832428783646
235,Actg1,0.0004749892457282101
236,Actl6a,3.468456176079193e-05
237,Actn4,0.00012251294954113558
238,Actr10,4.145710582537924e-05
239,Actr1b,3.1735810113706776e-05
240,Actr2,0.00019653283806262938
241,Actr3,0.00018220512661291658
242,Acvrl1,0.00018012444526909195
243,Acy3,0.004066120180970016
244,Adam10,8.151989293938101e-05
245,Adam15,4.1147272665180505e-05
246,Adamts1,4.886962100691911e-05
247,Adamts2,3.8294527468565065e-05
248,Adap2,0.0002632624587483356
249,Adar,1.486432993314322e-05
250,Adck2,4.9886396820853056e-05
251,Adck3,7.215609950215548e-05
252,Add1,6.405453763008831e-05
253,Add3,4.76301098731793e-05
254,Adh1,0.001200290515218232
255,Adh5,0.0001382349051955935
256,Adhfe1,4.21446622321212e-05
257,Adipor1,7.780941920707303e-05
258,Adk,5.8154817884484246e-05
259,Adprh,7.60631777574298e-05
260,Adra2b,0.00010161193181393382
261,Adrb2,5.965359429041601e-05
262,Adrbk1,6.039045457816377e-05
263,Adrm1,8.07882524685032e-05
264,Adsl,0.00011016362930624651
265,Aebp1,0.00013465558505026907
266,Aebp2,3.3810352888641604e-05
267,Aes,0.00023922532904329877
268,Afap1l1,2.5783970928577612e-05
269,Aff4,2.6949084533703838e-05
270,Afmid,6.661079298281497e-05
271,Aga,3.799659521349448e-05
272,Agap1,4.467661247863496e-05
273,Agpat3,8.832223122901517e-05
274,Agpat6,4.196118603210728e-05
275,Agpat9,1.3922109981178524e-05
276,Agphd1,5.545841696622432e-05
277,Agps,5.3501905957921084e-05
278,Agr2,9.06660963314127e-05
279,Agtr1a,3.88285647040788e-05
280,Agtrap,6.066541833115206e-05
281,Ahcy,7.038761094760666e-05
282,Ahcyl2,3.1843235988620314e-05
283,Ahnak,0.00018538489560162663
284,Ahsa1,0.000132341373495619
285,Aif1,0.0012303655273164682
286,Aif1l,0.0001931984414179954
287,Aifm1,4.436533372352967e-05
288,Aig1,3.31923961768642e-05
289,Aimp1,3.069032980225099e-05
290,Aip,4.4996957811474306e-05
291,Airn,7.414321167824156e-06
292,Ak1,4.681583865407678e-05
293,Ak2,0.00010693134688079691
294,Ak3,6.783383726532828e-05
295,Ak4,2.407506880264818e-05
296,Akap12,0.00011448311543028219
297,Akap13,0.00015161886251170448
298,Akap2,0.0002097338066725993
299,Akap8,2.9645974759593996e-05
300,Akap8l,3.3969842123881865e-05
301,Akirin2,6.758364196666613e-05
302,Akna,2.7797107050745755e-05
303,Akr1a1,0.0009274487996637579
304,Akr1b8,4.2169012980513924e-05
305,Akr1c14,4.947674746332406e-05
306,Akr1c21,0.0029309514457756393
307,Akr7a5,0.00012353078464433814
308,Akt1,6.371726300637717e-05
309,Akt1s1,4.762877301068903e-05
310,Aktip,4.160404120441108e-05
311,Alad,5.788665615240763e-05
312,Alas1,3.6898526741939886e-05
313,Alas2,8.097131892864808e-05
314,Alb,0.00010408430062767906
315,Alcam,6.354104989587689e-05
316,Aldh1l1,0.00015635260036763696
317,Aldh2,0.00024962207317703525
318,Aldh3a2,3.216946689601745e-05
319,Aldh3b1,4.6745202209657256e-05
320,Aldh4a1,0.00012570221556120945
321,Aldh6a1,0.00012614743905234308
322,Aldh7a1,7.576393295720505e-05
323,Aldh8a1,0.0003409014953178684
324,Aldh9a1,8.796316588750254e-05
325,Aldoa,0.0006545396090671411
326,Aldob,0.007402512983063501
327,Alg3,4.3434240600406167e-05
328,Alkbh5,0.00010232349978117967
329,Alkbh6,2.8288291710223642e-05
330,Alkbh7,3.5959276724315784e-05
331,Alox5ap,0.0008788535789607165
332,Alpl,0.0014772660628193672
333,Alyref,6.288715737296344e-05
334,Amacr,0.00014811622408165972
335,Amdhd2,6.647142906419686e-05
336,Amfr,9.094627470895801e-05
337,Amn,0.00010835087439978954
338,Amotl1,0.0002008161297329773
339,Anapc11,7.745918615542643e-05
340,Anapc13,7.372954285336626e-05
341,Anapc5,0.00013320235949324584
342,Angpt1,9.153672285372031e-05
343,Angptl2,4.718150148423124e-05
344,Ank3,0.00011597408758943188
345,Ankle2,2.9528990776308553e-05
346,Ankrd1,3.2588677847499065e-05
347,Ankrd11,0.00010388682309967574
348,Ankrd12,6.343151852552752e-05
349,Ankrd13a,1.9706895571522165e-05
350,Ankrd13c,5.041782072816045e-05
351,Ankrd44,3.8070833337451575e-05
352,Ano6,2.108242429878112e-05
353,Anp32a,6.004370250978014e-05
354,Anp32b,8.138229518919328e-05
355,Anp32e,5.8486569894220474e-05
356,Anxa1,0.00028905323820905865
357,Anxa2,0.0003883623291334345
358,Anxa3,0.0002019856702006162
359,Anxa4,7.738233346368705e-05
360,Anxa5,0.000222447643934974
361,Anxa6,0.00029552704475301
362,Anxa7,7.414006574102298e-05
363,Ap1m1,5.978547369521034e-05
364,Ap1s1,6.994029949520739e-05
365,Ap2a2,0.00013522506850771694
366,Ap2b1,5.581160857589103e-05
367,Ap2m1,0.0001157764827281917
368,Ap2s1,7.960113165028755e-05
369,Ap3b1,6.215077984016875e-05
370,Apba3,2.4908669987959222e-05
371,Apbb1ip,4.5156370364255844e-05
372,Apbb2,0.0001742467109967144
373,Apc,1.2059479736934407e-05
374,Apeh,5.63214076367618e-05
375,Aph1a,3.5826753511446434e-05
376,Api5,2.4187142648427112e-05
377,Aplp1,4.9504444786174884e-05
378,Aplp2,0.00016632061604611646
379,Apoa1,4.130395770087857e-05
380,Apoa1bp,6.646799993017485e-05
381,Apoa2,4.357334922158939e-05
382,Apob,0.00043372379616826343
383,Apobec1,0.0002879732062430222
384,Apobec3,0.00012178059176922091
385,Apod,5.8971931502627835e-05
386,Apoe,0.0009848507683170133
387,Apol7e,2.5762952797503437e-05
388,Apold1,0.001388878443808472
389,Apom,3.10707179762982e-05
390,Apoo,5.365671950767912e-05
391,App,0.000545321284436293
392,Aprt,9.23316369414173e-05
393,Aqp1,8.105742276255507e-05
394,Aqp11,3.38218114234223e-05
395,Aqp3,0.00011371593346283113
396,Araf,3.6605962160616337e-05
397,Arcn1,4.754873788098438e-05
398,Arf1,0.00020849362983865058
399,Arf3,5.315639476949991e-05
400,Arf4,8.793936898294943e-05
401,Arf5,7.868061073012519e-05
402,Arf6,7.305417916820392e-05
403,Arfgap2,5.201597334473563e-05
404,Arfgef2,2.4154708456999804e-05
405,Arglu1,6.45394357743288e-05
406,Arhgap10,2.5940711915059346e-05
407,Arhgap21,2.179379360415498e-05
408,Arhgap26,1.9778249733617486e-05
409,Arhgap30,8.845671937308559e-05
410,Arhgap31,0.00028477664635226103
411,Arhgap5,4.2453440459415714e-05
412,Arhgap9,8.503676545854689e-05
413,Arhgdia,0.0002011329913450583
414,Arhgdib,0.0011137533020180483
415,Arhgef1,6.047625850287835e-05
416,Arhgef10l,1.630465765374195e-05
417,Arhgef15,0.00010404006754178994
418,Arid1a,5.2525771589067246e-05
419,Arl1,3.4273810728986395e-05
420,Arl2,4.190966378308277e-05
421,Arl2bp,4.915320677170813e-05
422,Arl3,6.009132644218783e-05
423,Arl4a,5.0158034102881445e-05
424,Arl4c,1.636283305149873e-05
425,Arl6ip1,0.0001682067111871315
426,Arl6ip4,5.307596716851976e-05
427,Arl6ip5,7.884348243499746e-05
428,Arl8b,3.456418486718295e-05
429,Armc1,4.185180324491911e-05
430,Arpc1a,7.958004898841278e-05
431,Arpc1b,0.0002924174463452255
432,Arpc2,0.00024032367391720082
433,Arpc3,0.00015635150962781575
434,Arpc4,9.689412712844797e-05
435,Arpc5,0.0001198586116167344
436,Arpc5l,0.00013538597601562213
437,Arpp19,5.7665194723530375e-05
438,Arrb2,0.0001763982500781064
439,Arrdc1,4.247861720565229e-05
440,Arrdc3,5.496247511133255e-05
441,Arsa,1.5663296489290366e-05
442,Arsb,2.6203731256761185e-05
443,Arsg,4.1930358125221264e-05
444,Arvcf,6.7907662546922e-05
445,Asah1,0.00014350869143931694
446,Asb2,1.4152203377390534e-05
447,Asb9,1.2879945353461267e-05
448,Ascc1,0.00010385629595207813
449,Asf1a,3.510523901489281e-05
450,Ash1l,4.295685744913616e-05
451,Asl,0.00014637426896760996
452,Asph,0.00019186443168233086
453,Ass1,0.002303395796289441
454,Atad2,7.638667441240825e-05
455,Ate1,3.166009885529047e-05
456,Atf3,0.00015869124491846407
457,Atf4,0.0002019473960956185
458,Atg3,8.779113367360124e-05
459,Atg4b,6.005087676900353e-05
460,Atg5,3.5612282287425684e-05
461,Atic,2.963874256217262e-05
462,Atox1,0.00022241523943942857
463,Atp11a,0.002196786318022911
464,Atp1a1,0.0024249633005469762
465,Atp1b1,0.0016254622977489542
466,Atp1b3,0.00017374690974411553
467,Atp2b1,7.790770141294193e-05
468,Atp2c1,2.734981073179488e-05
469,Atp4a,3.475332302451355e-05
470,Atp5a1,0.00044213362100133455
471,Atp5b,0.0006430135342924364
472,Atp5c1,0.0001850270972664004
473,Atp5d,0.0002766749881638702
474,Atp5e,0.0004814227023650551
475,Atp5f1,0.00035406574340819
476,Atp5g1,0.0005998504895773052
477,Atp5g2,0.00014469571987953537
478,Atp5g3,0.0003181665391091371
479,Atp5h,0.0005764457299955228
480,Atp5j,0.0003598475580064968
481,Atp5j2,0.0003038425664389849
482,Atp5k,0.0006134855975379758
483,Atp5l,0.0002657433749062554
484,Atp5o,0.0005545935271949832
485,Atp5sl,4.048701535966784e-05
486,Atp6ap1,0.00014296572270322896
487,Atp6ap2,7.448198976061053e-05
488,Atp6v0b,0.00011148582641016089
489,Atp6v0c,8.736093065469069e-05
490,Atp6v0d1,5.17821151327306e-05
491,Atp6v0e,0.00017879743402275037
492,Atp6v0e2,9.307166644052636e-05
493,Atp6v1a,0.0001614786706173343
494,Atp6v1b1,0.0001728264365166213
495,Atp6v1b2,0.00011302172630885514
496,Atp6v1c1,5.8760579010420874e-05
497,Atp6v1d,7.571069627294527e-05
498,Atp6v1e1,0.00011617246073701951
499,Atp6v1f,0.00022355788138152683
500,Atp6v1g1,0.00038205935535196337
501,Atp6v1h,4.9372560109813064e-05
502,Atp8a1,4.388822970359407e-05
503,Atpif1,0.00022889218624540507
504,Atrx,7.166356750341321e-05
505,Atxn1,3.4913716222948865e-05
506,Atxn10,8.817240781866922e-05
507,Atxn7l3b,5.735743867539575e-05
508,Auh,6.492749385039611e-05
509,Aup1,0.00010419993875516733
510,Aurkaip1,9.426535314914962e-05
511,Axl,0.0002652057988470571
512,Azgp1,0.0011638266073226255
513,Azi2,4.284793577406686e-05
514,B230219D22Rik,6.317192486516898e-05
515,B2m,0.005996733558559628
516,B3gnt1,2.7987848143435243e-05
517,B3gnt2,6.09754467120093e-05
518,B4galnt1,9.397709492339733e-05
519,B4galt1,0.0001184186780377648
520,BC002163,7.290249541965539e-05
521,BC003266,3.7911284568978757e-05
522,BC003331,4.660250526695903e-05
523,BC004004,0.00012956601308197207
524,BC005561,4.91883804393492e-05
525,BC006779,1.1535472788188632e-05
526,BC013529,6.614386671222115e-05
527,BC013712,8.56951725875112e-05
528,BC017158,3.773255225138584e-05
529,BC017612,5.409462544684089e-05
530,BC021785,0.00019429868213044718
531,BC026585,8.575460644026594e-05
532,BC028528,3.491835928621859e-05
533,BC031181,7.159310589320466e-05
534,BC031353,4.047740555140639e-05
535,BC031781,4.6185552113639386e-05
536,BC048355,0.00013419383399150016
537,BC056474,5.097332325778202e-05
538,BC089597,7.507373090560823e-05
539,Bace2,1.787077559495244e-05
540,Bag1,0.00021111843916131495
541,Bag3,6.22108315866946e-05
542,Bag6,5.605028423296456e-05
543,Baiap2,5.778726267987192e-05
544,Baiap2l2,5.956220698432899e-05
545,Banf1,6.944673317183052e-05
546,Bap1,5.126095527950719e-05
547,Basp1,0.0004184890713379144
548,Bax,3.637726520529781e-05
549,Baz1a,4.551191439946416e-05
550,Bbip1,4.548450919913848e-05
551,Bbx,3.762219518939892e-05
552,Bcam,0.00039751544156530416
553,Bcap31,9.332946188880646e-05
554,Bcar1,5.641511230466048e-05
555,Bcas2,6.0192152558908224e-05
556,Bcat2,5.78603909739508e-05
557,Bccip,5.477924103765785e-05
558,Bckdha,0.0001000225926470803
559,Bckdhb,1.6890932092936623e-05
560,Bckdk,6.590633310492719e-05
561,Bcl10,6.827649632852902e-05
562,Bcl11b,4.274939759380924e-05
563,Bcl2,7.474182836681992e-05
564,Bcl2a1b,0.0003470210474936474
565,Bcl2a1d,0.00013488633312077507
566,Bcl2l1,6.349433743996722e-05
567,Bcl3,3.1694381282014396e-05
568,Bcl7b,4.205266068754271e-05
569,Bcl7c,3.985395402643004e-05
570,Bcs1l,1.5385601369954047e-05
571,Bdh1,0.000333763080222024
572,Bdh2,0.00027874393229387814
573,Becn1,6.183699667878685e-05
574,Bend5,3.711893615540171e-05
575,Beta-s,0.0003056850897721401
576,Bex4,1.8874489477892628e-05
577,Bgn,0.0001091717347234783
578,Bhlhe40,5.310549517714373e-05
579,Bhmt2,9.609806235200385e-05
580,Bicc1,7.867831903539205e-05
581,Bin1,7.330416079498592e-05
582,Birc5,5.1631183588343855e-05
583,Birc6,6.814340245392224e-05
584,Blk,7.230933660563314e-05
585,Blmh,2.86840115186126e-05
586,Blnk,0.0002237144151479349
587,Bloc1s1,0.00013275181443700543
588,Bloc1s3,1.4282510033580748e-05
589,Blvra,4.690828771023975e-05
590,Bmyc,4.8503701417863956e-05
591,Bnip2,9.548676887000938e-05
592,Bnip3,9.48613284553996e-05
593,Bnip3l,7.406828393095535e-05
594,Bod1,6.00947312019503e-05
595,Bod1l,5.605563236044825e-05
596,Bok,3.7550337660029086e-05
597,Bola2,7.897116798060238e-05
598,Bola3,0.00010167399330646669
599,Bphl,0.00011080538471105667
600,Bpnt1,9.624215901117748e-05
601,Bptf,4.9511697852477696e-05
602,Brd1,4.060660488905874e-05
603,Brd2,7.393412795162031e-05
604,Brd3,7.19662272284319e-05
605,Brd4,8.047746777337522e-05
606,Brd7,2.6662434648623483e-05
607,Brd8,2.9117200373606836e-05
608,Brd9,3.878557906554764e-05
609,Bre,3.88877697860749e-05
610,Bri3,8.168304903426414e-05
611,Brix1,5.4110042633362236e-05
612,Brp44,0.00028542010816737815
613,Brp44l,0.0002502405809353812
614,Brpf1,2.086983138726423e-05
615,Bsdc1,1.6328418826072734e-05
616,Bsg,0.00017101934022081334
617,Bsnd,1.8885731481322023e-05
618,Bspry,0.00015255842544017502
619,Bst2,0.0006976254538494235
620,Btbd1,2.1200005431277004e-05
621,Btd,7.031847427667998e-05
622,Btf3,0.00010583720464635472
623,Btf3l4,3.086514148556067e-05
624,Btg1,0.0004969307652922575
625,Btg2,0.0007968958819860847
626,Btnl9,6.569973286128385e-05
627,Bub3,5.5666333765646155e-05
628,Bzw1,6.174688005083973e-05
629,Bzw2,4.014646120884273e-05
630,C030046I01Rik,9.832055231654377e-05
631,C130026I21Rik,7.05783779379167e-05
632,C130074G19Rik,4.5232732549788173e-05
633,C1d,4.8296011073939135e-05
634,C1qa,0.0017480590851238463
635,C1qb,0.000866088158823914
636,C1qbp,7.768695678906962e-05
637,C1qc,0.0015262613231968205
638,C1qtnf1,8.420982767971091e-05
639,C1ra,8.68107228182159e-05
640,C1s,7.445656545157634e-05
641,C2,2.699483812655033e-05
642,C230081A13Rik,4.114496481502759e-06
643,C3,0.00012095872898093419
644,C330006A16Rik,0.00012578200656030737
645,C330021F23Rik,7.329346563650353e-05
646,C3ar1,0.00021155813337000087
647,C5ar1,0.00018236275705489893
648,C77080,7.527365333968798e-05
649,C85492,5.512812985155107e-05
650,Cab39,0.00011969986369743887
651,Cab39l,5.618839113569957e-05
652,Cachd1,7.620711766847468e-05
653,Cacybp,4.203960505042667e-05
654,Cadm1,0.00018216468264048362
655,Calb1,0.0018961937000345126
656,Calcoco1,3.22520936995077e-05
657,Calcrl,0.0008570281712683953
658,Cald1,0.0003846553443492533
659,Calm1,0.00034759766157650576
660,Calm2,0.0002698430084076797
661,Calm3,0.00011071307860425709
662,Calml4,0.0001833117357220238
663,Calr,0.0002087181621993386
664,Calu,7.20997474414071e-05
665,Camk1,7.011203407323849e-05
666,Camk1d,8.680264160976926e-06
667,Camk2n1,0.00013127285663136243
668,Canx,0.00017982748341814397
669,Capg,0.00034729300102910316
670,Capns1,4.843722876716754e-05
671,Caprin1,7.281701574109352e-05
672,Capza1,2.8536118888275885e-05
673,Capza2,7.030804499374119e-05
674,Capzb,0.00023638072255523793
675,Car12,0.00014601864124876555
676,Car14,7.83306059729591e-05
677,Car15,9.156571548407122e-05
678,Car2,0.0022446156071039935
679,Car3,0.00014567084870554934
680,Car4,0.0002846091265057124
681,Car7,7.347113007015324e-05
682,Card10,4.662877402761999e-05
683,Carhsp1,7.03826907879613e-05
684,Casd1,2.9966170586813898e-05
685,Caskin2,3.8808808082592945e-05
686,Casr,0.00014930759350636179
687,Cat,0.00018656324111704717
688,Cav1,6.703044919180811e-05
689,Cbfa2t3,0.00015510862456153673
690,Cbr1,5.577577020908677e-05
691,Cbs,6.263493084663385e-05
692,Cbx1,7.039597877385184e-05
693,Cbx3,5.717500888672137e-05
694,Cbx5,0.00013725591060228002
695,Cbx6,2.161795911222434e-05
696,Ccar1,6.5129524917633e-05
697,Ccdc104,4.465112711160068e-05
698,Ccdc107,0.00014041017544782802
699,Ccdc109a,4.038708281507089e-05
700,Ccdc12,5.736731785656191e-05
701,Ccdc124,8.592594995800652e-05
702,Ccdc141,2.8330039197747825e-05
703,Ccdc23,3.2911517497545417e-05
704,Ccdc28b,3.482598846150337e-05
705,Ccdc47,8.408025686230235e-05
706,Ccdc56,9.15031474060221e-05
707,Ccdc58,3.072516988092659e-05
708,Ccdc59,4.516160384523446e-05
709,Ccdc6,6.642824383977473e-05
710,Ccdc72,0.00010854054753353278
711,Ccdc80,0.00015392827063684617
712,Ccdc85b,3.1428946218010125e-05
713,Ccdc88a,2.081165899976448e-05
714,Ccdc90a,6.98537095518031e-05
715,Cckar,0.00017852695136567038
716,Ccl3,3.324323241438123e-05
