,3m,3m_gini
0,0610007C21Rik,9.763531389785443e-05
1,0610007L01Rik,5.696625814099598e-05
2,0610007N19Rik,3.395957311600811e-05
3,0610007P22Rik,1.4066555394362068e-05
4,0610009D07Rik,3.625320270939314e-05
5,0610009O20Rik,2.93854998015264e-05
6,0610010K14Rik,8.178202383300423e-05
7,0610010O12Rik,2.513403316630799e-05
8,0610011F06Rik,2.762359090126041e-05
9,0610031J06Rik,3.226430134606563e-05
10,0610037L13Rik,5.719618552167775e-05
11,0910001L09Rik,4.061553050278885e-05
12,1110002B05Rik,4.555400680442339e-05
13,1110003E01Rik,0.00016948076206783596
14,1110004F10Rik,5.523614592330032e-05
15,1110007C09Rik,6.7810342590304e-05
16,1110008F13Rik,7.037009841832243e-05
17,1110037F02Rik,3.5126495573418994e-05
18,1110038B12Rik,9.871507158284021e-06
19,1110038F14Rik,4.771439767517886e-05
20,1110051M20Rik,2.56169363523013e-05
21,1190002H23Rik,8.081152822317108e-05
22,1190002N15Rik,6.973197084066819e-05
23,1190003J15Rik,5.799614405485902e-05
24,1300014I06Rik,5.78597473909939e-05
25,1500003O03Rik,0.0018629749613808195
26,1500012F01Rik,5.3618560663470044e-05
27,1500032L24Rik,8.744422625207187e-05
28,1600029D21Rik,6.993331486616797e-05
29,1700019D03Rik,1.391248458019017e-05
30,1700019E19Rik,3.1605039234034736e-05
31,1700020I14Rik,3.6192364546024384e-05
32,1700029F09Rik,2.4771236913453147e-05
33,1700081L11Rik,0.00010724835247570288
34,1810006K21Rik,0.00012072809530059291
35,1810011O10Rik,0.00012093773165487058
36,1810013L24Rik,7.07090511935589e-05
37,1810022K09Rik,8.496469323446969e-05
38,1810026B05Rik,0.00010394818132683511
39,1810027O10Rik,9.285658829532293e-05
40,1810029B16Rik,2.009548041779821e-05
41,1810030J14Rik,3.578424695231723e-05
42,1810031K17Rik,3.8856391494790635e-05
43,1810037I17Rik,5.300309603783426e-05
44,1810043G02Rik,3.6969587835909606e-05
45,1810055G02Rik,4.831145581648712e-05
46,1810058I24Rik,6.205565780714486e-05
47,2010002N04Rik,5.7386689131182216e-05
48,2010106G01Rik,0.00018418151927948324
49,2010107E04Rik,0.0002850988817990657
50,2010111I01Rik,3.8818314303504196e-05
51,2200002D01Rik,2.9592156844919733e-05
52,2210403K04Rik,0.0001242155122370928
53,2310003F16Rik,5.045459927739652e-05
54,2310008H09Rik,2.2817231848952165e-05
55,2310036O22Rik,0.000243328730244891
56,2310037I24Rik,5.7910872945649597e-05
57,2310044H10Rik,0.00013127521741744793
58,2310046O06Rik,4.184572302623348e-05
59,2310047M10Rik,3.1008374356706304e-05
60,2400001E08Rik,6.316914579789793e-05
61,2400003C14Rik,0.0016682856637617886
62,2410003K15Rik,5.556671802297522e-05
63,2410004B18Rik,2.6796511168844868e-05
64,2410006H16Rik,5.834404280392012e-05
65,2410042D21Rik,6.046117226410067e-05
66,2500003M10Rik,8.997833997323564e-05
67,2510006D16Rik,0.00011651837442880385
68,2510039O18Rik,1.2069715209210253e-05
69,2610001J05Rik,4.795948478745212e-05
70,2610002J02Rik,1.9331019795104312e-05
71,2610005L07Rik,6.011617375086045e-05
72,2610027L16Rik,0.00025171704392416556
73,2610029G23Rik,6.332658969869864e-05
74,2610101N10Rik,5.201396737004854e-05
75,2610305D13Rik,2.4967885950099514e-05
76,2610507B11Rik,2.9564642614497717e-05
77,2700060E02Rik,7.814915188487385e-05
78,2700089E24Rik,6.689994710443353e-05
79,2810403A07Rik,4.710019138422236e-05
80,2810407C02Rik,8.265971238610765e-05
81,2810428I15Rik,0.00012322566990182545
82,2810453I06Rik,5.160647229059739e-05
83,2810474O19Rik,5.415623124869788e-05
84,2900053A13Rik,0.00012488059230203352
85,2900064A13Rik,0.0001776865336756483
86,2900097C17Rik,0.0003080614364521784
87,3110003A17Rik,2.963194901235483e-05
88,3230401D17Rik,6.283854126756794e-05
89,4632411B12Rik,4.588461804015846e-05
90,4632428N05Rik,6.170493361226414e-05
91,4732418C07Rik,6.797815292142233e-05
92,4833439L19Rik,0.00015253271214813144
93,4921513D23Rik,5.596983063551338e-05
94,4921517L17Rik,5.498989460588632e-05
95,4930414L22Rik,4.944076341738921e-05
96,4930420K17Rik,2.704934343286106e-05
97,4930455C21Rik,3.249549803024084e-05
98,4930523C07Rik,5.973176293086965e-05
99,4930539J05Rik,5.517629434680255e-05
100,4931406C07Rik,5.489661686785135e-05
101,4931406P16Rik,0.00015446315325254786
102,4931408D14Rik,0.0001042983978461251
103,4932438A13Rik,6.162592484242697e-05
104,4933407C03Rik,4.8544768744184014e-05
105,4933407H18Rik,3.469826729061174e-05
106,4933426M11Rik,7.285789489505291e-05
107,4933434E20Rik,5.6849895915240606e-05
108,5430417L22Rik,7.998819816717356e-05
109,5430437P03Rik,8.208074192659834e-05
110,5730408K05Rik,0.00017321407621840172
111,6330406I15Rik,2.9813014953884225e-05
112,6330407A03Rik,3.989034086369573e-05
113,6330409N04Rik,2.3359236023543054e-05
114,6430527G18Rik,0.0002141500827401394
115,6720401G13Rik,2.622121918404689e-05
116,6720456B07Rik,0.00011010155777248435
117,6820431F20Rik,9.044983088828661e-05
118,8430408G22Rik,8.458253428248762e-05
119,9030425E11Rik,4.7301108315205316e-05
120,9030624J02Rik,6.853290034674711e-05
121,9130011J15Rik,5.271817793245679e-05
122,9330020H09Rik,1.3061368198424748e-05
123,9430020K01Rik,0.0001266547806764806
124,9430023L20Rik,6.661000013124845e-05
125,9530068E07Rik,0.00012874703350800764
126,9930021J03Rik,3.824800854667344e-05
127,A130040M12Rik,0.003020038554314597
128,A230046K03Rik,9.050024379319253e-05
129,A630001G21Rik,2.8087114161657928e-05
130,A630007B06Rik,1.230998538620696e-05
131,A730098P11Rik,6.585418746808742e-05
132,A930001N09Rik,3.468571639235172e-05
133,AF251705,3.3555040528098455e-05
134,AI314180,0.0001282358044721738
135,AI506816,0.00034244654123620656
136,AI597468,4.021711435584753e-05
137,AI607873,6.576081107174326e-05
138,AW112010,4.654972276065269e-05
139,AW549877,4.161677792639775e-05
140,AY074887,3.905327730930341e-05
141,Aagab,3.349645024093139e-05
142,Aamp,9.713480085926016e-05
143,Aars,0.00010982450829537663
144,Aarsd1,3.1731464588149945e-05
145,Aatf,2.7048122134238575e-06
146,Abca1,2.754993482534325e-05
147,Abca5,1.4058852943469856e-05
148,Abca8b,4.342962678303696e-05
149,Abca9,3.203741408125932e-05
150,Abcb1a,1.9251341947885693e-05
151,Abcb1b,7.3623609023272e-05
152,Abcd3,1.600359345705157e-05
153,Abce1,3.602407125431059e-05
154,Abcf1,7.074134316590512e-05
155,Abcf2,5.6234588806294524e-05
156,Abcg2,8.226661107866886e-05
157,Abhd11,5.982575209084721e-05
158,Abhd12,6.193297646330034e-05
159,Abhd14a,3.892500653060086e-05
160,Abhd16a,3.3448878194334326e-05
161,Abi1,8.591993545172125e-05
162,Abi3bp,2.6752321661633524e-05
163,Abl2,5.502472899900665e-05
164,Ablim1,0.00016271894764798524
165,Ablim3,8.588499525666215e-05
166,Acaa1b,3.125029614221454e-05
167,Acadl,6.121932893097268e-05
168,Acadm,1.0636843729229892e-05
169,Acadvl,4.117221939321509e-05
170,Acap2,4.308113946550286e-05
171,Acat1,5.2805227035370925e-05
172,Acbd3,4.633030490664189e-05
173,Acbd4,2.6897553990306273e-05
174,Acbd5,2.06744726959393e-05
175,Acbd6,2.7254247700376168e-05
176,Ace,2.1980136837457807e-05
177,Acin1,5.14967468393567e-05
178,Aco2,0.0004043244126145067
179,Acot2,6.426332137467715e-05
180,Acox1,2.3920498548854606e-05
181,Acox3,3.0829961602246356e-05
182,Acp1,5.6989241084898585e-05
183,Acsl4,5.1034896339216926e-05
184,Acsl5,9.182001609632394e-05
185,Acta2,0.00020453435847881272
186,Actb,0.000941341040275879
187,Actg1,0.0002688438960910254
188,Actn1,7.280237356852945e-05
189,Actn4,0.0014544489394882737
190,Actr10,4.291026858329178e-05
191,Actr1a,7.077806359035675e-05
192,Actr1b,6.967961015835764e-05
193,Actr2,0.00017820723568596485
194,Actr3,0.004734128667793562
195,Acvrl1,3.850523038242568e-05
196,Acyp1,2.9148313155896487e-05
197,Adam10,0.00012690425452537287
198,Adam15,5.953467048806108e-05
199,Adam17,8.580710247558879e-05
200,Adam8,2.744339876933957e-05
201,Adam9,5.0768610378421654e-05
202,Adamts1,0.0001154951785935308
203,Adamts10,6.651309092820082e-05
204,Adamts2,2.1366928010024845e-05
205,Adamts4,4.490360464317177e-05
206,Adamts9,5.119102848711353e-05
207,Adamtsl1,2.70728631370261e-05
